playlist	position	id	title	channel	channel_id	uploader	uploader_id	artist	album	release_year	availability
p1	502	xflREqoH8To	NO ERA AMOR (Super Slowed)	DJ Asul	UCoZDo732E-nyXHlHb8dgaUg	DJ Asul					
p1	503	4BPSpabKjA8	NO ERA AMOR (Extremely Slowed)	DJ Asul	UCoZDo732E-nyXHlHb8dgaUg	DJ Asul					
p1	515	7jsnFJV2MVw	Dick Dale - Misirlou	The Unforgettables Tv	UCm8-BnSYVYivl3xqW10FIzw	The Unforgettables Tv	@TheUnforgettablesTv				
p1	544	1QnAsHJm_24	(no title)								
p1	546	ij8RkC6dLn0	Marion Barfs	Clint Mansell	UClP9bXb4SpdhP_IIxLDr3Hw	Clint Mansell					
p1	549	6w6MDTbPrgg	(no title)								
p1	559	qePI5n1eF30	Dark Future	Blast Off Music - Topic	UClkyxNDU_cqRT7k7bp0IbrA	Blast Off Music - Topic					
p1	560	drDn2BwEYcw	NO ERA AMOR (Slowed)	DJ Asul	UCoZDo732E-nyXHlHb8dgaUg	DJ Asul					
p1	566	HWqKPWO5T4o	(no title)								
p1	569	3b71vtXtgF8	Drizzling Serenity	Lunar Spark - Topic	UCVP7V0EsneKnmDOicuQX4Ig	Lunar Spark - Topic					
p1	602	aaLADvBZaxA	COM MEDO! (Super Slowed)	Sayfalse	UCrBVMECNKirKrG56SquaBDw	Sayfalse					
p1	607	IOrKYzOGzg0	Can't Stop	Bare Up - Topic	UCwjEO5hywezlZTAxKZ3uyrQ	Bare Up - Topic					
p1	626	nlFYAYuy7So	(no title)								
p1	631	ygFUzZFL-r0	BLAH	Hexora - Topic	UC1ZzdS7zwQSzbWTogix9ZxQ	Hexora - Topic					
p1	656	HyklZmIjQRk	Olympo Rave	Kobe Mane	UC8X1fm3yHoF8jxogQC4HCxA	Kobe Mane					
p1	676	GTIBcSOB31k	Don't Play That	O.D.	UCTiMzftk2JTKHnNT-PlIXrQ	O.D.					
p1	691	PkNtBuwWq_o	My Body Is A Cage	Peter Gabriel	UCmcjOnFmIlg-LqTocHbQkFw	Peter Gabriel					
p1	719	G7OOJs0qCU0	Nebula	Blast Off Music - Topic	UClkyxNDU_cqRT7k7bp0IbrA	Blast Off Music - Topic					
p1	734	_FGVfpIjjCI	Drift Beyond Clarity	Lumea	UC32TBi2fuAl84G8RKXI7JwA	Lumea					
p1	754	eNGDWBVel6w	(no title)								
p1	756	Nw1R4TpAkcU	(no title)								
p1	762	PQJ8y--y16k	(no title)								
p1	772	eTMQ-u8PQi8	(no title)								
p1	776	VncGDqIbNVQ	FUNK ESTRANHO (SUPER SLOWED)	ALXIKE - Topic	UCTw2yJ4nPxJGrHSoUJOhdGQ	ALXIKE - Topic					
p1	784	AV58Skh6t1U	(no title)								
p1	786	CWpQs-qXi9c	Starlight Journey	SAD PHONK	UCPRBbeonsE7VIsPDLEO176Q	SAD PHONK					
p1	799	FTpHsPwSm7g	Raise Hell (Original Mix)	Zardonic	UCmC_na-XRiW1lhQNRJbAR-w	Zardonic					
p1	817	zdpWmqBIs1w	Horizon	Blast Off Music - Topic	UClkyxNDU_cqRT7k7bp0IbrA	Blast Off Music - Topic					
p1	829	Ajq_g24Ttzc	(no title)								
p1	843	vPqO67DZxlk	AVANGARD (Slowed)	LONOWN	UCUuoP_kMfLNv0K4EdHqA71Q	LONOWN					
p1	850	AdDgDktxiRU	ჩუბინა	East Duo	UCxSP05H8BEdpu3Q0RYeGOrA	East Duo					
p1	852	GQwBXef55D8	WHOOPS!	ByAstral - Topic	UCRJGlNiZWBFo21_ro95VHxw	ByAstral - Topic					
p1	871	w_VQJBWvJcI	SLAVA FUNK!	MVSTERIOUS	UCf8tiWF7z1ahN0IrN2FBKHA	MVSTERIOUS					
p1	883	yQs7iZ6MhzY	(no title)								
p1	891	fepB-s-nDIc	(no title)								
p1	894	cJvCuBlYUqc	ჩუბინა	chub1na.ge	UCDGHm6gAL5lPvjMTDLhPzfw	chub1na.ge					
p1	897	iF0oTjm2vEE	(no title)								
p1	905	4qoXWufGWkY	(no title)								
p1	908	YW2LC4ovrd4	life force	ptasinski - Topic	UC745jF-2LavDBSdi2eu6Psg	ptasinski - Topic					
p1	917	QkuYMngedUQ	(no title)								
p1	927	6o39YLyppJo	WWE: I Won't Do What You Tell Me (Stone Cold Steve Austin) (Original Theme)	WWE - Topic	UCULgRTCMvQCVLfraq427YzA	WWE - Topic					
p1	929	xTF2Q4VIJoc	(no title)								
p1	935	9o8d2HZE0Yc	Menace (Slowed + Reverb)	visioner. - Topic	UCP5IKZlkWrCOyREZMOoRglw	visioner. - Topic					
p1	954	Ksk2obagexs	Rolling Thunder	Digital Bridge - Topic	UCkad_--KZh6-pESKFvbH0Xg	Digital Bridge - Topic					
p1	975	iAv3oBSOmF8	(no title)								
p1	976	F8UYGQeavRw	(no title)								
p1	999	tIu2kBFYqUY	(no title)								
p1	1007	SiqSl6x3XAY	(no title)								
p1	1013	m4PODtj-TOg	9 Am	vicX	UCCywAiQX8tbo8hISLP2JFDA	vicX					
p1	1018	FPnckbJPM_I	(no title)								
p1	1028	9DBADBtjQbs	(no title)								
p1	1038	tI2ZSqtikrk	Malevolent Chant	The Soul Mate	UCjgZIkHpyLpcKxCvc5bMOWw	The Soul Mate					
p1	1046	q5ncE4wIvfw	GLORY	Ogryzek	UCsXGh5GV9HYGpAwtmfQvXYw	Ogryzek					
p1	1059	iQs9XDPXHJ4	Vato Gonzalez - Bump & Grind (Bassline Riddim / Visualiser) ft. Scrufizzer	VatoGonzalezVEVO	UCnWSfv2_WFlwTcwszXU1hBQ	VatoGonzalezVEVO	@VatoGonzalezVEVO				
p1	1060	ohCJcu-XM_c	(no title)								
p1	1069	ktkK6vlS9JU	Simplify	Los Coast - Topic	UCA_DBGygSA9-ulFY3OCpw1w	Los Coast - Topic					
p1	1094	bekns9G2eCI	Frozen Gaze (Acoustic Version)	Digital Bridge - Topic	UCkad_--KZh6-pESKFvbH0Xg	Digital Bridge - Topic					
p1	1098	63pWZhYg7PA	First Blood	mori - Topic	UCJqBq_s5A4eHy9aOc4xA14A	mori - Topic					
p1	1102	LL0z-EiJbMI	The Begin (Dramatic)	AnyMindMusic Library - Topic	UCMnw6xS1n1FyqL4vmmsQnlw	AnyMindMusic Library - Topic					
p1	1141	vQMa1XAymm8	(no title)								
p1	1143	KrniOQZ14jo	(no title)								
p1	1147	tJTjr_suT1g	Idea 22	Gibran Alcocer	UC_6zyKjvT-qt1Uf-_yqHb4Q	Gibran Alcocer					
p1	1148	OHw5I5JIVc8	Idea 22 (Slowed + Reverb)	Gibran Alcocer	UC_6zyKjvT-qt1Uf-_yqHb4Q	Gibran Alcocer					
p1	1161	Wl2fIy4sHB4	(no title)								
p1	1164	nafgjey_pLo	(no title)								
p1	1180	caadly0-szM	(no title)								
p1	1181	GCnaOCilsAI	(no title)								
p1	1193	9lhYFSRYNiU	(no title)								
p1	1194	feip67YM1j0	(no title)								
p1	1199	p0CxxFaXC7s	Vengeance	iwilldiehere	UC6ASul1kr-qoMcLCCZ2BGhg	iwilldiehere					
p1	1213	_-XWQKQKOnM	Menace (Sped Up)	visioner. - Topic	UCP5IKZlkWrCOyREZMOoRglw	visioner. - Topic					
p1	1237	fkrYH6Ll984	Heartburn (Slowed + Reverb)	Tenseoh - Topic	UCDgQq20RE9j-7knfJ2TKRMQ	Tenseoh - Topic					
p1	1240	41Y-inDev5o	Menace	visioner. - Topic	UCP5IKZlkWrCOyREZMOoRglw	visioner. - Topic					
p1	1244	XFFDG5FRbWk	(no title)								
p1	1246	_Mr9UFDjH0o	(no title)								
p1	1297	wTK6pIFRaSk	(no title)								
p1	1304	k9QOk0XsOo0	Royalty (Slowed & Reverb)	TBang Music - Topic	UC5rd5nhhUmRVQ-dZ8Of2mAw	TBang Music - Topic					
p1	1309	7dSDoh9ebVA	(no title)								
p1	1320	8IF03m1bYJI	(no title)								
p1	1321	-_TgMzu7J6s	(no title)								
p1	1337	_neDP3Dpo_I	(no title)								
p1	1352	AyfY9hHF05U	Stereo Love (speed up)	DJ Agos - Topic	UCLHZxfGxWSGygGi3ZxaoW9A	DJ Agos - Topic					
p1	1363	0kFGbZ9KrlI	(no title)								
p1	1366	M0AZ8d0R1PU	(no title)								
p1	1370	bDOwSx5xXIw	(no title)								
p1	1387	1u_UVkOYIQU	(no title)								
p1	1389	FO78uJ16-qI	(no title)								
p1	1391	wOSOr_ZK3gk	(no title)								
p1	1408	yd5bT_65g00	14.L'Amour Impitoyable	Sound Wave	UC9r2IBXTuSn9jwn2kjDmnIA	Sound Wave	@soundwave5623				
p1	1412	HsLOxbLZMy8	At Doom's Gate	Mick Gordon	UCgzy7JqiE7qcpdnwu79dF_A	Mick Gordon					
p1	1418	Clx2ZEXhDCk	(no title)								
p1	1426	xOcpXSko1_0	COWBELL WARRIOR!	SXMPRA	UCnAoMhaBA6x4DYW__pgRKgA	SXMPRA					
p1	1454	IKFuaExJ-EI	(no title)								
p1	1467	ryDOy3AosBw	Skee-Lo - I Wish (Official Video)	Altra Moda Music	UCFRe1i5lu0H26RgEBWR1gpA	Altra Moda Music	@AltraModaMusic				
p1	1476	dG73yRzB9mQ	(no title)								
p1	1485	93fAJe8WVjA	Born To Be Wild	Steppenwolf - Topic	UC0aR1L5OoaiiaW73-bNl_Ug	Steppenwolf - Topic					
p1	1524	JE-NdIUgTGw	(no title)								
p1	1537	Jrg9KxGNeJY	(no title)								
p1	1547	VJDXOWqs_HI	"Beautiful Lie (From ""Batman v Superman: Dawn of Justice"" Soundtrack)"	Hans Zimmer	UCJeBQabyLa_FvMxb6G67lkw	Hans Zimmer					
p1	1573	bte1rCN7sQg	Distance	Louis Lion - Topic	UCNrQLBwt7K-5ST2j2lbIubA	Louis Lion - Topic					
p1	1588	Q_b5LVWF-68	(no title)								
p1	1590	2kpxJ6_iVts	(no title)								
p1	1611	8QE9cmfxx4s	(no title)								
p1	1612	yArDurN6hoA	(no title)								
p1	1618	l0CbhG-P1UA	Berserk - Workout Mix	WorkGeekOut	UCiuLtTDNZrwIuzWXC-h7wdA	WorkGeekOut	@WorkGeekOut				
p1	1620	uyx3kiPdn9Y	Schwarzbraun ist die Haselnuss	Release - Topic	UCP42i5T4954SlG-S9sb-BXQ	Release - Topic					
p1	1630	uo4W0aLpOuU	(no title)								
p1	1644	U6Pm0iVvFXs	Gangsta's Paradise	Coolio	UCL05rT1FGIX8SE3EeADcQtA	Coolio					
p1	1646	huaB7asdTz8	(no title)								
p1	1653	hMts_vK-arQ	I'm Not Driving Anymore (Rollo's Mix / Instrumental)	Rob Dougan Official	UC63vspEO-7dx99D2eAgQnWw	Rob Dougan Official					
p1	1659	XUhVCoTsBaM	(no title)								
p1	1661	fOsB5AoKDJc	(no title)								
p1	1669	d0QN-BWgfuM	(no title)								
p1	1671	KlW-uHtmnBg	(no title)								
p1	1674	wi8X0ziGcqI	Drive Forever	Nightshift TV	UCYwQgSIlVqI7OF1cq6uiMsw	Nightshift TV					
p1	1697	nJtiYPe9nv4	(no title)								
p1	1703	SU4QLjphivo	(no title)								
p2	12	ZcaWPrhgFeA	For the Nigguz	Memphis Cult	UCLxAkBbl8X0_tWZGjDUuN6w	Memphis Cult					
p2	51	e-7lBX_7MYM	NASTY (Slowed Loop)	Owen Cropper - Topic	UCrdFB-Cs0Qx7g8NB179qvDQ	Owen Cropper - Topic					
p2	71	_KAK3H63py0	NO BATIDÃO (Ultra Slowed)	PsycoTune - Topic	UCskDPt4UADnFJJzwxw2joSw	PsycoTune - Topic					
p2	120	ge1mZ_CoGqs	Woops Warhammer	Testosterone - Topic	UCFcHOTxL73q5daeKMTCgFKw	Testosterone - Topic					
p2	143	LOK7wZaVlLU	Instant Hit	insectt0s - Topic	UCcXf2vlHZV5JE_m2-2kz-9g	insectt0s - Topic					
p2	217	uOpt3eUvQEU	Tessellate	alt-J	UCAMWWQQNQeD73DtiddfBrpg	alt-J					
p2	236	ICcNkseFQXg	Molly (Guitar Rmx)	mikeeysmind	UCsqfUqT46FCt5v7k-v_z2Yw	mikeeysmind					
