playlist	position	id	recovered_title	earliest_snapshot_date	evidence_url	status
p1	1244	XFFDG5FRbWk	Transformers 3 - Sentinel Prime (The Score - Soundtrack)	2012-07-09	https://web.archive.org/web/20120709164533id_/http://www.youtube.com/watch?v=XFFDG5FRbWk&gl=US&hl=en	recovered
p1	1246	_Mr9UFDjH0o		2023-12-03		not found
p1	1297	wTK6pIFRaSk		2024-08-11		not found
p1	1309	7dSDoh9ebVA	Andrew Tate theme song [slowed/reverb/bass-boosted] 4K	2022-11-04	https://web.archive.org/web/20221104033112id_/https://www.youtube.com/watch?v=7dSDoh9ebVA	recovered
p1	1320	8IF03m1bYJI				no snapshots
p1	1321	-_TgMzu7J6s	SLICK KILLA - YOUR FINAL MESSAGE (Slowed + Reverb)	2022-12-22	https://web.archive.org/web/20221222193710id_/https://www.youtube.com/watch?v=-_TgMzu7J6s	recovered
p1	1337	_neDP3Dpo_I	CALMNESS	2023-03-25	https://web.archive.org/web/20230325082858id_/https://www.youtube.com/watch?v=_neDP3Dpo_I	recovered
p1	1363	0kFGbZ9KrlI	Mahabharat Title Song- Hai Katha Sangram Ki with Lyrics	2020-10-12	https://web.archive.org/web/20201012141401id_/https://www.youtube.com/watch?v=0kFGbZ9KrlI	recovered
p1	1366	M0AZ8d0R1PU				no snapshots
p1	1370	bDOwSx5xXIw	Mareux - The Perfect Girl (Lyrics)	2022-02-09	https://web.archive.org/web/20220209175649id_/https://www.youtube.com/watch?v=bDOwSx5xXIw	recovered
p1	1387	1u_UVkOYIQU	INDILA - Ainsi Bas La Vida (Slowed+Reverb)	2022-06-22	https://web.archive.org/web/20220622135422id_/https://www.youtube.com/watch?app=desktop&v=1u_UVkOYIQU	recovered
p1	1389	FO78uJ16-qI	DIOR - Polozhenie (T3NZU Remix - English Lyrics)	2023-02-22	https://web.archive.org/web/20230222030315id_/https://www.youtube.com/watch?v=FO78uJ16-qI	recovered
p1	1391	wOSOr_ZK3gk	after dark x sweater weather slowed+reverb	2023-04-15	https://web.archive.org/web/20230415062652id_/https://www.youtube.com/watch?v=wOSOr_ZK3gk&pp=QAFIAQ%3D%3D	recovered
p1	1418	Clx2ZEXhDCk				no snapshots
p1	1454	IKFuaExJ-EI	Marina and the Diamonds - Immortal (MewOne!, Syberian Beast Remix)	2019-03-27	https://web.archive.org/web/20190327225124id_/https://www.youtube.com/watch?v=IKFuaExJ-EI	recovered
p1	1476	dG73yRzB9mQ	INITIAL D (Soundtrack)	2020-10-28	https://web.archive.org/web/20201028062308id_/https://www.youtube.com/watch?v=dG73yRzB9mQ&gl=US&hl=en	recovered
p1	1524	JE-NdIUgTGw	World of Warships OST Title Theme	2020-07-29	https://web.archive.org/web/20200729180555id_/https://www.youtube.com/watch?v=JE-NdIUgTGw&gl=US&hl=en	recovered
p1	1537	Jrg9KxGNeJY	[Full Song/Lyrics] Bury the Light - Vergil's battle theme from Devil May Cry 5 Special Edition	2020-10-01	https://web.archive.org/web/20201001054034id_/https://www.youtube.com/watch?v=Jrg9KxGNeJY	recovered
p1	1588	Q_b5LVWF-68	HENSONN - SAHARA	2021-12-25	https://web.archive.org/web/20211225182531id_/https://www.youtube.com/watch?v=Q_b5LVWF-68	recovered
p1	1590	2kpxJ6_iVts	Indila - Dernière Danse (Speechle2s Remix) (Without Drop)	2019-09-21	https://web.archive.org/web/20191112163603id_/https://www.youtube.com/watch?v=2kpxJ6_iVts	recovered
p1	1611	8QE9cmfxx4s	Death Note OP 1 [NC]	2017-07-17	https://web.archive.org/web/20170717090838id_/https://www.youtube.com/watch?v=8QE9cmfxx4s	recovered
p1	1612	yArDurN6hoA				no snapshots
p1	1630	uo4W0aLpOuU		2022-02-25		not found
p1	1646	huaB7asdTz8	Ravens Rock - Drive Forever (ThreeV Remix)	2021-09-07	https://web.archive.org/web/20210907190123id_/https://www.youtube.com/watch?v=huaB7asdTz8	recovered
p1	1659	XUhVCoTsBaM	Jojo's Bizarre Adventure- Awaken(Pillar Men Theme)	2014-02-19	https://web.archive.org/web/20140219065722id_/http://www.youtube.com/watch?v=XUhVCoTsBaM	recovered
p1	1661	fOsB5AoKDJc	DOOM Eternal OST - The Only Thing They Fear Is You (old/new Merged)	2020-10-31	https://web.archive.org/web/20210116070957id_/https://www.youtube.com/watch?v=fOsB5AoKDJc	recovered
p1	1669	d0QN-BWgfuM				no snapshots
p1	1671	KlW-uHtmnBg	D r i v e F o r e v e r	2021-08-24	https://web.archive.org/web/20210824003947id_/https://www.youtube.com/watch?v=KlW-uHtmnBg&list=PLUe5EEd2PeTJH7QyFuXUwuPEuzeOY4LJl&index=10	recovered
p1	1697	nJtiYPe9nv4	Undertale- All Boss Themes	2016-05-15	https://web.archive.org/web/20160515033943id_/https://www.youtube.com/watch?v=nJtiYPe9nv4	recovered
p1	1703	SU4QLjphivo				no snapshots
